City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,harrison,US,60.87,clear sky,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
242,chuy,UY,64.36,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
243,manturovo,RU,35.67,overcast clouds,58.34,44.76,ProstoХостел
244,fare,PF,82.15,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
245,delta del tigre,UY,59.11,clear sky,-34.76,-56.39,FINCA SUAREZ
246,wuda,CN,37.6,overcast clouds,39.5,106.71,Grape Sightseeing Garden
247,pochutla,MX,83.82,clear sky,15.74,-96.47,Hotel Posada San Jose
248,sitka,US,42.69,overcast clouds,57.05,-135.33,Westmark Sitka
249,makakilo city,US,80.92,light intensity drizzle,21.35,-158.09,Marriott's Ko Olina Beach Club
250,lufilufi,WS,83.28,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
251,peniche,PT,52.11,scattered clouds,39.36,-9.38,Hotel Star inn Peniche
255,chulumani,BO,62.69,overcast clouds,-16.41,-67.53,Hotel Cabanas Paradise
256,souillac,MU,78.71,light rain,-20.52,57.52,Bils' Villa
258,minsk,BY,31.75,clear sky,53.9,27.57,Minsk Hotel
259,santana do livramento,BR,56.71,clear sky,-30.89,-55.53,Hotel Emirates
260,ewa beach,US,82.35,light intensity drizzle,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
261,te anau,NZ,67.55,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
262,ormond beach,US,65.08,clear sky,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
263,brae,GB,42.3,clear sky,60.4,-1.35,Busta House Hotel
264,akmene,LT,35.98,clear sky,56.25,22.75,Sodyba
265,tigil,RU,35.46,overcast clouds,57.8,158.67,Tigil'
266,vankleek hill,CA,35.55,overcast clouds,45.52,-74.65,Maple Lea Farm B & B
267,awbari,LY,57.24,clear sky,26.59,12.78,فندق أوباري
268,saint george,US,59.63,few clouds,37.1,-113.58,Best Western Plus Abbey Inn
269,andros town,BS,76.96,clear sky,24.7,-77.77,Hanks place
270,hueytamalco,MX,64.44,overcast clouds,19.95,-97.27,Auto HOTEL El Mediterráneo
272,inhambane,MZ,72.73,overcast clouds,-23.86,35.38,Oceano
273,san vicente,AR,62.6,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
274,margate,GB,35.69,clear sky,51.38,1.39,Premier Inn Margate hotel
275,umtata,ZA,60.21,overcast clouds,-31.59,28.78,LLZZ Boutique Lodge
276,drezna,RU,35.44,clear sky,55.75,38.85,Country house in Nazhitsy
277,pithoragarh,IN,50.4,scattered clouds,29.58,80.22,Hipostel Pithoragarh (Cafe Morrison)
280,wakkanai,JP,31.46,light snow,45.41,141.67,Hyōsetsu-sō
281,ardalstangen,NO,26.58,scattered clouds,61.24,7.7,Klingenberg Hotel AS
282,kadyy,RU,35.69,overcast clouds,57.79,43.19,Kafe Veranda
283,nome,US,12.27,clear sky,64.5,-165.41,Dredge 7 Inn
284,husavik,IS,29.21,broken clouds,66.04,-17.34,Bjarnabúð
285,severo-kurilsk,RU,32.56,snow,50.68,156.12,Kak Doma
286,asau,RO,25.72,broken clouds,46.43,26.4,Casa Mika Ciobanus
287,ribas do rio pardo,BR,72.01,overcast clouds,-20.44,-53.76,Ataíde Martins
288,millerovo,RU,26.69,scattered clouds,48.92,40.4,"Millerovo ""Gostinyy Dvor"""
289,carutapera,BR,75.6,overcast clouds,-1.2,-46.02,Lidera
291,taltal,CL,66.69,clear sky,-25.4,-70.48,Residencial Karime
292,santa isabel do rio negro,BR,73.45,light rain,-0.41,-65.02,Hotel GSA
293,balkanabat,TM,44.67,overcast clouds,39.51,54.37,Nebitchi Hotel
294,college,US,20.07,few clouds,64.86,-147.8,Pike's Waterfront Lodge
295,bizhbulyak,RU,29.23,overcast clouds,53.7,54.26,Гостиница «Уют»
296,asfi,MA,58.28,clear sky,32.3,-9.24,Hôtel Abda
297,phan thiet,VN,83.84,broken clouds,10.93,108.1,Hotel Saigon-PT
298,chimbote,PE,69.85,overcast clouds,-9.09,-78.58,Hotel Briliá
299,kokopo,PG,85.28,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
300,la rioja,ES,44.38,overcast clouds,42.25,-2.5,Casa Concejos
301,ambilobe,MG,73.65,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
302,manaure,CO,79.52,overcast clouds,11.78,-72.44,HOTEL DEL MAR VENDRA
303,awjilah,LY,50.7,clear sky,29.11,21.29,المنزل
304,san patricio,US,69.67,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
305,wajid,SO,75.09,clear sky,3.81,43.25,xamdihotelresturant114
307,komatipoort,ZA,65.05,clear sky,-25.43,31.95,Kruger View Backpackers
308,republic,US,67.96,clear sky,37.12,-93.48,AmericInn by Wyndham Republic
309,atherton,GB,39.42,clear sky,53.52,-2.49,The Mercury Motel
310,betioky,MG,64.98,clear sky,-23.72,44.38,Bungalows Acacias Hotel
311,bluff,NZ,59.16,few clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
313,dinan,FR,49.21,scattered clouds,48.42,-2.25,Domaine de La Ville Heleuc
315,jaboticabal,BR,67.32,overcast clouds,-21.25,-48.32,Hotel Municipal
316,olinda,BR,82.13,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
317,halden,NO,30.63,clear sky,59.12,11.39,Clarion Collection Hotel Park
319,russell,US,64.0,clear sky,32.35,-85.2,Macs
320,jalu,LY,50.86,clear sky,29.03,21.55,صاحبة الفخامة
321,adelaide,AU,84.56,overcast clouds,-34.93,138.6,The Chancellor on Currie
322,montepuez,MZ,66.83,overcast clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
323,shimoda,JP,49.1,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
324,ellisras,ZA,61.77,scattered clouds,-23.66,27.74,Lapa le le guesthouse
325,tres arroyos,AR,59.18,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
326,roald,NO,42.75,clear sky,62.58,6.13,Flem Cabins
328,vaini,TO,81.48,overcast clouds,-21.2,-175.2,Keleti Beach Resort
329,coahuayana,MX,75.09,clear sky,18.73,-103.68,El rranchito michuacan de ocampos
330,fort-shevchenko,KZ,30.42,clear sky,44.51,50.26,Oasis hotel Bautino
331,mataura,NZ,70.07,scattered clouds,-46.19,168.86,Ellie's Villa
332,kununurra,AU,87.78,overcast clouds,-15.77,128.73,Hotel Kununurra
333,dunkwa,GH,75.06,overcast clouds,5.97,-1.78,Tim Freeman Gold City Hotel
334,bethel,US,48.94,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
335,sakakah,SA,49.89,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
336,boulder city,US,66.6,clear sky,35.98,-114.83,Boulder Dam Hotel
337,mitsamiouli,KM,81.23,light rain,-11.38,43.28,Foyer ADM
